national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V94160_117_D-158;137003256;"https://www.openstreetmap.org/way/137003256";Avenue du Général de Gaulle;secondary;30;
V94160_118;137007363;"https://www.openstreetmap.org/way/137007363";Avenue Daumesnil;tertiary;50;
V94160_119_D-158;137007364;"https://www.openstreetmap.org/way/137007364";Avenue du Général de Gaulle;secondary;30;
V94160_120;137007365;"https://www.openstreetmap.org/way/137007365";Avenue Sainte-Marie;residential;30;
V94160_121_D-158;144756938;"https://www.openstreetmap.org/way/144756938";Place du Général Leclerc;secondary;30;
V94160_122_D-120;144756939;"https://www.openstreetmap.org/way/144756939";Avenue de Paris;primary;50;
V94160_123;147360890;"https://www.openstreetmap.org/way/147360890";Place Charles Digeon;residential;null;
V94160_124;150614614;"https://www.openstreetmap.org/way/150614614";null;path;null;
V94160_125_D-120;160318616;"https://www.openstreetmap.org/way/160318616";Avenue de Paris;primary;50;
V94160_126;165614443;"https://www.openstreetmap.org/way/165614443";null;footway;null;
V94160_127;171760147;"https://www.openstreetmap.org/way/171760147";null;path;null;
V94160_128;171959517;"https://www.openstreetmap.org/way/171959517";Rue Jeanne d'Arc;residential;30;
V94160_129;171959519;"https://www.openstreetmap.org/way/171959519";Rue Jeanne d'Arc;residential;30;
V94160_130;171962152;"https://www.openstreetmap.org/way/171962152";Rue Plisson;residential;null;
V94160_131;171962449;"https://www.openstreetmap.org/way/171962449";Rue de l'Alouette;residential;30;
V94160_132;178828672;"https://www.openstreetmap.org/way/178828672";Avenue de Liège;residential;30;
V94160_133;178830282;"https://www.openstreetmap.org/way/178830282";null;residential;50;
V94160_134_D-120;178830283;"https://www.openstreetmap.org/way/178830283";Avenue de Paris;primary;50;
V94160_135_D-120;178830284;"https://www.openstreetmap.org/way/178830284";Avenue de Paris;primary;50;
V94160_136_D-120;178830286;"https://www.openstreetmap.org/way/178830286";Avenue de Paris;primary;50;
V94160_137;179865717;"https://www.openstreetmap.org/way/179865717";Avenue de Liège;cycleway;null;
V94160_138;205013564;"https://www.openstreetmap.org/way/205013564";null;steps;null;
V94160_139;205014750;"https://www.openstreetmap.org/way/205014750";null;footway;null;
