national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V75013_1689;292877509;"https://www.openstreetmap.org/way/292877509";null;service;null;
V75013_1690;294799032;"https://www.openstreetmap.org/way/294799032";Boulevard Arago;secondary;30;
V75013_1691;294799043;"https://www.openstreetmap.org/way/294799043";Rue Corvisart;residential;30;
V75013_1692;294799047;"https://www.openstreetmap.org/way/294799047";Rue Vergniaud;residential;30;
V75013_1693;294840619;"https://www.openstreetmap.org/way/294840619";null;cycleway;null;
V75013_1694;294840623;"https://www.openstreetmap.org/way/294840623";null;cycleway;null;
V75013_1695_D-150;295403454;"https://www.openstreetmap.org/way/295403454";Avenue Paul Vaillant-Couturier;secondary;30;
V75013_1696;295403458;"https://www.openstreetmap.org/way/295403458";null;footway;null;
V75013_1697;295434556;"https://www.openstreetmap.org/way/295434556";null;footway;null;
V75013_1698;296190650;"https://www.openstreetmap.org/way/296190650";Avenue Boutroux;residential;30;
V75013_1699;296221840;"https://www.openstreetmap.org/way/296221840";Avenue Maurice Thorez;cycleway;null;
V75013_1700;296414737;"https://www.openstreetmap.org/way/296414737";Avenue de la Porte d'Ivry;cycleway;null;
V75013_1701;298746802;"https://www.openstreetmap.org/way/298746802";Avenue d'Italie;primary;30;
V75013_1702;298746803;"https://www.openstreetmap.org/way/298746803";Avenue de Choisy;secondary;30;
V75013_1703;299441944;"https://www.openstreetmap.org/way/299441944";Rue du Chevaleret;residential;30;
V75013_1704;299688332;"https://www.openstreetmap.org/way/299688332";Place d'Italie;primary;30;
V75013_1705;299740517;"https://www.openstreetmap.org/way/299740517";Rue Auguste Lançon;residential;30;
V75013_1706;299740519;"https://www.openstreetmap.org/way/299740519";Rue Auguste Lançon;residential;30;
V75013_1707;299740520;"https://www.openstreetmap.org/way/299740520";Rue des Glycines;residential;30;
V75013_1708;299740521;"https://www.openstreetmap.org/way/299740521";Rue des Glycines;residential;30;
V75013_1709;299740522;"https://www.openstreetmap.org/way/299740522";Rue Auguste Lançon;residential;30;
